Property Number,Date,Brand,Model,Color ,Stolen,Stolen From,Status,Incident number,Agency code
P24567,01/12/2017,,BOLT ACTION SH,,Stolen Locally,Residence,Not Recovered,B17-01302,BPD
P24806,01/22/2017,TAURUS,,BLACK,Stolen Locally,Vehicle,Recovered Other ,B17-02589,BPD
P25118,01/31/2017,,SHOTGUN,,Stolen Locally,Residence,Not Recovered,B17-02584,BPD
P25119,01/31/2017,,RIFLE,,Stolen Locally,Residence,Not Recovered,B17-02584,BPD
P25236,02/05/2017,SPRINGFIELD,XDMWOE192,BLACK,Stolen Locally,Vehicle,Not Recovered,B17-04349,BPD
P25370,02/12/2017,WALTHER PPKS,.380,,Stolen Locally,Unknown,Not Recovered,B17-05250,BPD
P25797,03/02/2017,RUGER,SR 9MM,BLACK,Stolen Locally,Vehicle,Not Recovered,B17-07756,BPD
P25943,03/11/2017,SMITH & WESSON,,,Stolen Locally,Residence,Not Recovered,B17-09107,BPD
P25955,03/13/2017,GLOCK 19,GEN 4,BLACK,Stolen Locally,Residence,Not Recovered,B17-09333,BPD
P26122,03/21/2017,TAURUS,PQ111,BLACK,Stolen Locally,Residence,Recovered Locally,B17-10518,BPD
P26318,03/29/2017,SCAR 17,,BLACK,Stolen Locally,Residence,Recovered Other ,B17-11696,BPD
P26319,03/29/2017,AU 47,,BLACK,Stolen Locally,Residence,Recovered Other ,B17-11696,BPD
P26320,03/29/2017,GLOCK,19,BLACK,Stolen Locally,Residence,Recovered Other ,B17-11696,BPD
P26322,03/29/2017,REMINGTON,SHOT GUN,BLACK,Stolen Locally,Residence,Recovered Other ,B17-11696,BPD
P26325,03/29/2017,AERIAL PRECISION,AR 15,,Stolen Locally,Residence,Recovered Other ,B17-11696,BPD
