Property Number,Date,Brand,Model,Color ,Stolen,Stolen From,Status,Incident number,Agency code
P31494,10/09/2017,TAURUS,PT809,BLACK,STOLEN LOCALLY,RESIDENCE,NOT RECOVERED,B17-41330,BPD
P32044,10/27/2017,KEL-TEC,,,STOLEN LOCALLY,RESIDENCE,RECOVERED LOCALLY,B17-44179,BPD
P32045,10/27/2017,RUGER,AR-15,,STOLEN LOCALLY,RESIDENCE,RECOVERED LOCALLY,B17-44179,BPD
P32046,10/27/2017,RUGER,,,STOLEN LOCALLY,RESIDENCE,RECOVERED LOCALLY,B17-44179,BPD
P32055,10/27/2017,REMINGTON,870,,STOLEN LOCALLY,RESIDENCE,NOT RECOVERED,B17-44179,BPD
P32056,10/27/2017,RUGER,,,STOLEN LOCALLY,RESIDENCE,NOT RECOVERED,B17-44179,BPD
P32114,10/29/2017,WALTHER,P99,BLACK,STOLEN LOCALLY,VEHICLE,NOT RECOVERED,B17-44587,BPD
P32416,10/27/2017,RUGER,,,STOLEN LOCALLY,RESIDENCE,NOT RECOVERED,B17-44179,BPD
P32850,11/22/2017,COLT,38 SPECIAL,BLUE,STOLEN LOCALLY,VEHICLE,NOT RECOVERED,B17-47925,BPD
P33202,12/02/2017,GLOCK,B19,BLACK,STOLEN LOCALLY,RESIDENCE,RECOVERED LOCALLY,B17-49208,BPD
P33342,12/08/2017,TAURUS,P2111 9MM,,STOLEN LOCALLY,RESIDENCE,NOT RECOVERED,B17-50077,BPD
P33343,12/08/2017,GLOCK,23 .40 CALIBER,,STOLEN LOCALLY,RESIDENCE,NOT RECOVERED,B17-50077,BPD
P33345,12/08/2017,,,,STOLEN LOCALLY,RESIDENCE,NOT RECOVERED,B17-50077,BPD
P33478,12/11/2017,TAURUS,MILLENNIUM G2,,STOLEN LOCALLY,RESIDENCE,RECOVERED LOCALLY,B17-50452,BPD
P33816,12/19/2017,HARRINGTON & RI,12 GA SHOTGUN,,STOLEN LOCALLY,VEHICLE,NOT RECOVERED,B17-51592,BPD
P33992,12/26/2017,GLOCK 19,GENERATION 5 9M,,STOLEN LOCALLY,RESIDENCE,NOT RECOVERED,B17-52393,BPD
